FACILITYID,LOCATION,INSTALLDAT,SUBTYPE,INSTALLCON,ASBUILTNUM,DATAORIGIN,OWNER,COMMENTS,MODELID,MATERIAL,INCASING,LENGTH,WRAPPING,DIAMETER,DEPTH,STATUS,CreatedUse,DateCreate,ModifiedUs,DateModifi,PressureSy,LiningType,PipeClass,Roughness,OperatingP,LiningDate,LiningCont,LiningAsbu,ProjectFun,JointUse,GlobalID,created_us,created_da,last_edite,last_edi_1,Replacemen,OBJECTID,WORKORDERI,DESCRIPTIO,EntityUid,EntityType,LOCATION_1,INITIATEDA,WOXCOORDIN,WOYCOORDIN,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Map_unit_s,Map_unit_n,Ph Rating,Shape_Length
00-03418,,7/31/1963 0:00,1,,A157W-W1,,AA,,2981,CI,0,446,,6,0,IS,,,EtMiller,6/3/2022 0:00,NEH,,,0,,,,,,,{72E3687F-A35D-4F58-8A22-DE07A0F41898},,,,,,791,729034,Water Main Repair Break,00-03418,WWATERMAIN,,6/23/2021 0:00,-9323200.878,5205442.423,MI161,13,MmF,191650,MmF,"Miami loam, 25 to 35 percent slopes",6.7,446.4653442
00-03420,Culver Rd,7/31/1963 0:00,1,,A157W-W1,,AA,,2982,CI,0,182,,6,0,IS,,,etmiller,7/28/2022 0:00,NEH,,,0,,,,,,,{0075729F-21DB-4CB8-A3C2-D5DE7BDE098B},,,ETMILLER,7/28/2023 0:00,,832,758536,Water Main Repair Break,00-03420,WWATERMAIN,,11/29/2021 0:00,-9323259.737,5205197.66,MI161,13,MmF,191650,MmF,"Miami loam, 25 to 35 percent slopes",6.7,181.9919532
00-03436,Culver Rd,7/31/1963 0:00,1,,A157W-W1,ASBUILT,AA,,2992,CI,0,188,,6,0,IS,,,EtMiller,6/3/2022 0:00,NEH,,,0,,,,,,,{A30B0299-E864-4077-B51F-8A1EA8A666CF},,,GBURDA,5/23/2023 0:00,,14,335084,Water Main Repair Break,00-03436,WWATERMAIN,,2/1/2013 0:00,-9323236.008,5205546.759,MI161,13,MmF,191650,MmF,"Miami loam, 25 to 35 percent slopes",6.7,188.1192281
00-03435,Culver Rd,7/31/1963 0:00,1,,A157W-W1,ASBUILT,AA,,2994,CI,0,553,,6,0,IS,,,EtMiller,6/3/2022 0:00,NEH,,,0,,,,,,,{C4D26B8D-25DD-4191-B3C1-4C67B0B3C17E},,,GBURDA,5/23/2023 0:00,,21,336917,Water Main Repair Break,00-03435,WWATERMAIN,,2/12/2013 0:00,-9323288.174,5205276.22,MI161,13,MmF,191650,MmF,"Miami loam, 25 to 35 percent slopes",6.7,552.8986183
00-03445,Brooks St,1/1/1950 0:00,1,,,,AA,,3000,CI,0,531,,6,0,IS,,,EtMiller,6/9/2022 0:00,WH,,,0,,,,,,,{5D099459-792B-4581-80CD-91C14932F17F},,,,,,495,556962,Water Main Repair Break,00-03445,WWATERMAIN,,2/13/2018 0:00,-9323934.845,5205297.863,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,530.8978502
00-03445,Brooks St,1/1/1950 0:00,1,,,,AA,,3001,CI,0,38,,6,0,IS,,,EtMiller,6/9/2022 0:00,WH,,,0,,,,,,,{1D77270B-3FF2-44E0-8213-1379B8BCD035},,,,,,495,556962,Water Main Repair Break,00-03445,WWATERMAIN,,2/13/2018 0:00,-9323934.845,5205297.863,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,37.60622726
00-03469,,1/1/1940 0:00,1,,,,AA,,3017,CI,0,651,,6,0,IS,,,EtMiller,6/9/2022 0:00,WH,,,0,,,,,,,{79BFFDE2-61C5-415E-910E-A70180484116},,,,,,772,702763,Water Main Repair Break,00-03469,WWATERMAIN,,2/25/2021 0:00,-9323844.457,5205175.345,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,650.9954929
00-03474,,1/1/1940 0:00,1,,,,AA,,3019,CI,0,58,,6,0,IS,,,EtMiller,6/3/2022 0:00,NEH,,,0,,,,,,,{58D897E0-20A3-4699-BFEB-148A6FD59719},,,,,,419,520104,Water Main Repair Break,00-03474,WWATERMAIN,,3/7/2017 0:00,-9323603.373,5205274.081,MI161,13,MmF,191650,MmF,"Miami loam, 25 to 35 percent slopes",6.7,57.78463301
00-03479,Long Shore Rd,1/1/1940 0:00,1,,A417W-W,ASBUILT,AA,,,CI,0,18,,4,0,AB,,,ASparks,11/18/2019 0:00,NEHWPRZ,,,0,,,,,,,{9BCDEFE9-35BF-42B8-9921-776EFCB6B894},,,,,,360,508732,Water Main Repair Break,00-03479,WWATERMAIN,,10/12/2016 0:00,-9321894.706,5205640.832,MI161,13,FoB,191623,FoB,"Fox sandy loam, till plain, 2 to 6 percent slopes",7.3,17.93810052
00-03479,Long Shore Rd,1/1/1940 0:00,1,,A417W-W,ASBUILT,AA,,,CI,0,401,,4,0,AB,,,ASparks,11/25/2019 0:00,NEHWPRZ,,,0,,,,,,,{BEADD9F6-3E8E-4EA8-AD60-0D78F10004D8},,,,,,360,508732,Water Main Repair Break,00-03479,WWATERMAIN,,10/12/2016 0:00,-9321894.706,5205640.832,MI161,13,FoB,191623,FoB,"Fox sandy loam, till plain, 2 to 6 percent slopes",7.3,401.0739867
00-03518,Ottawa Rd,1/1/1930 0:00,1,,,,AA,,,CI,0,478,,4,0,AB,,,ASparks,11/26/2019 0:00,NEHWPRZ,,,0,,,,,,,{D64F86EF-ADB4-4CEB-8B8A-C7E61494E571},,,,,,316,478982,Water Main Repair Break,00-03518,WWATERMAIN,,2/1/2016 0:00,-9321878.696,5205480.391,MI161,13,FoB,191623,FoB,"Fox sandy loam, till plain, 2 to 6 percent slopes",7.3,477.5605266
00-03550,Barton Dr,1/1/1930 0:00,1,,,EST,AA,,,CI,0,452,,6,0,AB,,,EtMiller,11/20/2020 0:00,NEHWPRZ,,,0,,,,,,,{90557589-23D7-4C29-A75D-901A3018B560},,,,,,459,551682,Water Main Repair Break,00-03550,WWATERMAIN,,11/29/2017 0:00,-9321485.21,5206105.202,MI161,13,FoB,191623,FoB,"Fox sandy loam, till plain, 2 to 6 percent slopes",7.3,452.3455404
